Symbol Name,Type,Side,Qty,Rem Qty,Order Price,Traded Price,Trigger Price,Status,Time/Date,Order Id,Message
SENSEX2642379000CE,LIMIT,SELL,500,460,416.5,416.5,0,cancelled,09:15:00 / 22-04-2026,1280029263,103 - Order Cancelled
SENSEX2642379000CE,LIMIT,SELL,500,0,366.65,367.954,0,executed,09:15:01 / 22-04-2026,1280029264,
SENSEX2642379000CE,LIMIT,SELL,500,0,338.1,346.544,0,executed,09:15:13 / 22-04-2026,1280029265,
SENSEX2642379000CE,LIMIT,SELL,500,0,344.6,350.19,0,executed,09:15:15 / 22-04-2026,1280029266,
SENSEX2642379000CE,LIMIT,SELL,500,0,378.65,378.69,0,executed,09:15:36 / 22-04-2026,1280029276,
SENSEX2642379000CE,LIMIT,SELL,500,0,358.45,363.854,0,executed,09:15:49 / 22-04-2026,1280029279,
SENSEX2642380300CE,LIMIT,BUY,500,0,49.25,48.478,0,executed,09:15:54 / 22-04-2026,1280029282,
SENSEX2642379000CE,LIMIT,SELL,500,0,337.6,337.6,0,executed,09:16:03 / 22-04-2026,1280029283,
SENSEX2642380300CE,LIMIT,BUY,500,0,43.3,42.868,0,executed,09:16:07 / 22-04-2026,1280029284,
SENSEX2642379000CE,LIMIT,SELL,500,0,337.75,347.012,0,executed,09:16:16 / 22-04-2026,1280029285,
SENSEX2642380300CE,LIMIT,BUY,500,0,47.9,45.968,0,executed,09:16:20 / 22-04-2026,1280029286,
SENSEX2642378000PE,LIMIT,SELL,500,0,138.55,141.336,0,executed,09:16:23 / 22-04-2026,1280029287,
SENSEX2642379300PE,LIMIT,BUY,100,0,668.8,643.59,0,executed,09:16:47 / 22-04-2026,1280029288,
SENSEX2642379300PE,LIMIT,BUY,100,0,668.8,637.85,0,executed,09:16:47 / 22-04-2026,1280029289,
SENSEX2642379000PE,LIMIT,SELL,100,0,438.8,462.64,0,executed,09:16:48 / 22-04-2026,1280029290,
SENSEX2642379000PE,LIMIT,SELL,100,0,438.8,461.96,0,executed,09:16:48 / 22-04-2026,1280029291,
SENSEX2642378000PE,LIMIT,SELL,500,0,125.35,128.194,0,executed,09:16:56 / 22-04-2026,1280029292,
SENSEX2642379300PE,LIMIT,SELL,200,0,523.75,617.41,0,executed,09:17:22 / 22-04-2026,1280029293,
SENSEX2642378000PE,LIMIT,SELL,500,500,112.7,0,0,rejected,09:17:53 / 22-04-2026,1280029294,OEMS:RMS : Margin Exceeds :  - Set Limit:[80000000] Total Required Margin:[81526688.03] Available Margin[1272463.19] Margin Shortfall[1526688.03] for entity [Dealer]-[DLL13462] across [ALL|ALL|ALL
SENSEX2642375000PE,LIMIT,BUY,500,0,4.1,4.1,0,executed,09:18:10 / 22-04-2026,1280029295,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.1,4.1,0,executed,09:18:10 / 22-04-2026,1280029296,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.15,4.15,0,executed,09:18:10 / 22-04-2026,1280029297,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.15,4.15,0,executed,09:18:10 / 22-04-2026,1280029298,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.2,4.15,0,executed,09:18:11 / 22-04-2026,1280029299,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.2,4.15,0,executed,09:18:12 / 22-04-2026,1280029300,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.2,4.15,0,executed,09:18:12 / 22-04-2026,1280029301,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.2,4.15,0,executed,09:18:12 / 22-04-2026,1280029302,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.2,4.15,0,executed,09:18:12 / 22-04-2026,1280029303,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.15,4.15,0,executed,09:18:13 / 22-04-2026,1280029304,
SENSEX2642375000PE,LIMIT,BUY,500,0,4.15,4.15,0,executed,09:18:13 / 22-04-2026,1280029305,
SENSEX2642379000PE,LIMIT,BUY,100,0,489.5,467.09,0,executed,09:18:36 / 22-04-2026,1280029306,
SENSEX2642379000PE,LIMIT,BUY,100,0,489.5,464.97,0,executed,09:18:36 / 22-04-2026,1280029307,
SENSEX2642379300PE,LIMIT,SELL,100,0,615.35,647.2,0,executed,09:18:36 / 22-04-2026,1280029308,
SENSEX2642379300PE,LIMIT,SELL,100,0,615.35,647,0,executed,09:18:36 / 22-04-2026,1280029309,
SENSEX2642378300PE,LIMIT,BUY,300,0,200,190.97,0,executed,09:21:05 / 22-04-2026,1280029311,
SENSEX2642378000PE,LIMIT,SELL,300,0,118.5,123.46333333333334,0,executed,09:21:06 / 22-04-2026,1280029312,
SENSEX2642379300PE,LIMIT,BUY,200,0,747.1,648.28,0,executed,09:21:31 / 22-04-2026,1280029313,
SENSEX2642380300CE,LIMIT,BUY,500,0,50.1,49.518,0,executed,09:21:35 / 22-04-2026,1280029314,
SENSEX2642379000CE,LIMIT,SELL,500,0,329.25,336.394,0,executed,09:22:44 / 22-04-2026,1280029321,
SENSEX2642380300CE,LIMIT,BUY,500,0,47.1,46.288,0,executed,09:22:49 / 22-04-2026,1280029322,
SENSEX2642380000CE,LIMIT,SELL,500,0,74.95,75.896,0,executed,09:22:58 / 22-04-2026,1280029323,
SENSEX2642380300CE,LIMIT,BUY,500,0,47.15,46.3,0,executed,09:23:20 / 22-04-2026,1280029328,
SENSEX2642378000PE,LIMIT,SELL,500,0,114.8,116.39,0,executed,09:23:30 / 22-04-2026,1280029329,
SENSEX2642380000CE,LIMIT,BUY,500,0,77.7,76.25,0,executed,09:23:37 / 22-04-2026,1280029330,
SENSEX2642380300CE,LIMIT,BUY,500,0,46,45.164,0,executed,09:23:41 / 22-04-2026,1280029331,
SENSEX2642380000CE,LIMIT,SELL,500,0,75.35,76.534,0,executed,09:23:47 / 22-04-2026,1280029332,
SENSEX2642380300CE,LIMIT,BUY,500,0,45.1,44.404,0,executed,09:23:51 / 22-04-2026,1280029333,
SENSEX2642380000CE,LIMIT,SELL,500,0,72.9,73.336,0,executed,09:24:00 / 22-04-2026,1280029334,
SENSEX2642380300CE,LIMIT,BUY,500,0,44.45,44.028,0,executed,09:24:03 / 22-04-2026,1280029335,
SENSEX2642380300CE,LIMIT,BUY,500,0,44.45,43.822,0,executed,09:24:03 / 22-04-2026,1280029336,
SENSEX2642380000CE,LIMIT,SELL,500,0,69.8,71.256,0,executed,09:24:08 / 22-04-2026,1280029337,
SENSEX2642380000CE,LIMIT,SELL,500,0,69.8,71.374,0,executed,09:24:08 / 22-04-2026,1280029338,
SENSEX2642379000CE,LIMIT,SELL,500,0,312.35,320.144,0,executed,09:24:17 / 22-04-2026,1280029339,
SENSEX2642378500CE,LIMIT,SELL,500,0,578.5,588.872,0,executed,09:24:24 / 22-04-2026,1280029340,
SENSEX2642378500CE,LIMIT,SELL,500,0,571,582.704,0,executed,09:24:31 / 22-04-2026,1280029341,
SENSEX2642380000CE,LIMIT,SELL,460,0,55.8,65.3,0,executed,09:24:38 / 22-04-2026,1280029342,
SENSEX2642378500CE,LIMIT,SELL,500,0,562.9,571.168,0,executed,09:24:46 / 22-04-2026,1280029343,
SENSEX2642378500CE,LIMIT,SELL,500,500,554.2,0,0,rejected,09:25:07 / 22-04-2026,1280029344,OEMS:RMS : Margin Exceeds :  - Set Limit:[80000000] Total Required Margin:[82724101.15] Available Margin[1148606.81] Margin Shortfall[2724101.15] for entity [Dealer]-[DLL13462] across [ALL|ALL|ALL
SENSEX2642378300PE,LIMIT,BUY,300,0,223.45,212.26333333333332,0,executed,09:25:11 / 22-04-2026,1280029345,
SENSEX2642378000PE,LIMIT,SELL,300,0,132.75,139.83333333333334,0,executed,09:25:12 / 22-04-2026,1280029346,
SENSEX2642379000CE,LIMIT,SELL,500,500,289.55,0,0,rejected,09:25:47 / 22-04-2026,1280029353,OEMS:RMS : Margin Exceeds :  - Set Limit:[80000000] Total Required Margin:[83024748.33] Available Margin[589307.88] Margin Shortfall[3024748.33] for entity [Dealer]-[DLL13462] across [ALL|ALL|ALL
SENSEX2642380300CE,LIMIT,BUY,500,0,39.3,38.65,0,executed,09:27:11 / 22-04-2026,1280029356,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.3,38.65,0,executed,09:27:11 / 22-04-2026,1280029357,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.3,38.65,0,executed,09:27:11 / 22-04-2026,1280029358,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.3,38.66,0,executed,09:27:11 / 22-04-2026,1280029359,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.15,38.4,0,executed,09:27:14 / 22-04-2026,1280029360,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.15,38.4,0,executed,09:27:14 / 22-04-2026,1280029361,
SENSEX2642380300CE,LIMIT,BUY,500,0,39.15,38.4,0,executed,09:27:15 / 22-04-2026,1280029362,
SENSEX2642380300CE,LIMIT,BUY,500,0,38.8,38.176,0,executed,09:27:20 / 22-04-2026,1280029363,
SENSEX2642380300CE,LIMIT,BUY,500,0,38.8,38.196,0,executed,09:27:20 / 22-04-2026,1280029364,
SENSEX2642380300CE,LIMIT,BUY,500,0,38.95,38.16,0,executed,09:27:20 / 22-04-2026,1280029365,
SENSEX2642380300CE,LIMIT,BUY,500,0,38.95,38.034,0,executed,09:27:20 / 22-04-2026,1280029366,
SENSEX2642380300CE,LIMIT,BUY,140,0,43.7,37.7,0,executed,09:27:23 / 22-04-2026,1280029367,
SENSEX2642379000CE,LIMIT,SELL,500,0,287.5,293.63,0,executed,09:27:42 / 22-04-2026,1280029368,
SENSEX2642378000PE,LIMIT,SELL,500,0,138.3,141.574,0,executed,09:27:56 / 22-04-2026,1280029369,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.3,5.3,0,executed,09:28:13 / 22-04-2026,1280029374,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.3,5.3,0,executed,09:28:13 / 22-04-2026,1280029375,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.3,5.3,0,executed,09:28:13 / 22-04-2026,1280029376,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.3,5.3,0,executed,09:28:13 / 22-04-2026,1280029377,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.45,5.35,0,executed,09:28:13 / 22-04-2026,1280029378,
SENSEX2642375500PE,LIMIT,BUY,500,0,5.45,5.4,0,executed,09:28:13 / 22-04-2026,1280029379,
SENSEX2642378500CE,LIMIT,SELL,500,0,527.5,538.07,0,executed,09:29:28 / 22-04-2026,1280029380,
SENSEX2642378300PE,LIMIT,BUY,300,0,259.5,244.23,0,executed,09:30:03 / 22-04-2026,1280029381,
SENSEX2642378000PE,LIMIT,SELL,300,0,154.75,160.28,0,executed,09:30:04 / 22-04-2026,1280029382,
SENSEX2642378500CE,LIMIT,SELL,500,0,500.05,510.332,0,executed,09:30:07 / 22-04-2026,1280029383,
SENSEX2642378300PE,LIMIT,BUY,300,0,259.35,246.35333333333332,0,executed,09:30:36 / 22-04-2026,1280029384,
SENSEX2642378000PE,LIMIT,SELL,300,0,156.6,162.27666666666667,0,executed,09:30:37 / 22-04-2026,1280029385,
SENSEX2642378000PE,LIMIT,SELL,500,0,155.85,159.614,0,executed,09:30:50 / 22-04-2026,1280029386,
SENSEX2642378000PE,LIMIT,SELL,500,0,147,150.256,0,executed,09:31:18 / 22-04-2026,1280029387,
SENSEX2642378000PE,LIMIT,SELL,500,0,149.75,152.1,0,executed,09:32:33 / 22-04-2026,1280029394,
SENSEX2642378500CE,LIMIT,BUY,500,0,555.85,546.672,0,executed,09:32:57 / 22-04-2026,1280029395,
SENSEX2642378500CE,LIMIT,BUY,500,0,573.85,564.446,0,executed,09:33:09 / 22-04-2026,1280029396,
SENSEX2642379000CE,LIMIT,SELL,500,0,288.1,292.354,0,executed,09:33:36 / 22-04-2026,1280029397,
SENSEX2642378500CE,LIMIT,SELL,500,0,509.6,518.658,0,executed,09:34:23 / 22-04-2026,1280029398,
SENSEX2642378500CE,LIMIT,SELL,200,0,506.35,514.49,0,executed,09:39:59 / 22-04-2026,1280029401,
SENSEX2642378500CE,LIMIT,SELL,200,0,496.2,503,0,executed,09:40:00 / 22-04-2026,1280029402,
SENSEX2642378500CE,LIMIT,SELL,200,0,476.8,483.435,0,executed,09:43:11 / 22-04-2026,1280029403,
SENSEX2642378300PE,LIMIT,BUY,300,0,271.35,258.57666666666665,0,executed,09:43:33 / 22-04-2026,1280029404,
SENSEX2642378000PE,LIMIT,SELL,300,0,160.55,168.19333333333333,0,executed,09:43:33 / 22-04-2026,1280029405,
SENSEX2642378000PE,LIMIT,SELL,200,200,160.6,0,0,rejected,09:43:51 / 22-04-2026,1280029406,OEMS:RMS : Margin Exceeds :  - Set Limit:[80000000] Total Required Margin:[80277662.65] Available Margin[841997.84] Margin Shortfall[277662.65] for entity [Dealer]-[DLL13462] across [ALL|ALL|ALL
SENSEX2642378500CE,LIMIT,SELL,200,0,470.4,479.935,0,executed,09:44:42 / 22-04-2026,1280029407,
SENSEX2642378000PE,LIMIT,BUY,200,0,180.05,175.9,0,executed,09:46:45 / 22-04-2026,1280029412,
SENSEX2642378500CE,LIMIT,SELL,200,0,462.35,470.215,0,executed,09:46:48 / 22-04-2026,1280029413,
SENSEX2642378000PE,LIMIT,BUY,200,0,183.25,179.475,0,executed,09:46:55 / 22-04-2026,1280029414,
SENSEX2642378000PE,LIMIT,BUY,200,0,183.15,179.55,0,executed,09:47:16 / 22-04-2026,1280029415,
SENSEX2642378000PE,LIMIT,BUY,200,0,184.25,181.4,0,executed,09:47:26 / 22-04-2026,1280029416,
SENSEX2642378300PE,LIMIT,SELL,200,0,260.3,265,0,executed,09:47:41 / 22-04-2026,1280029417,
SENSEX2642378300PE,LIMIT,SELL,200,0,261.25,266.06,0,executed,09:47:43 / 22-04-2026,1280029418,
SENSEX2642378300PE,LIMIT,SELL,200,0,259.75,263.03,0,executed,09:47:48 / 22-04-2026,1280029419,
SENSEX2642378500CE,LIMIT,BUY,200,0,474.3,462.59,0,executed,09:47:51 / 22-04-2026,1280029420,
SENSEX2642378000PE,LIMIT,BUY,200,0,178.95,176.05,0,executed,09:48:01 / 22-04-2026,1280029421,
SENSEX2642378000PE,LIMIT,BUY,200,0,182.35,178.585,0,executed,09:48:06 / 22-04-2026,1280029422,
SENSEX2642378000PE,LIMIT,BUY,200,0,182.7,180,0,executed,09:48:13 / 22-04-2026,1280029423,
SENSEX2642378000PE,LIMIT,BUY,200,0,186.65,183.6,0,executed,09:48:17 / 22-04-2026,1280029424,
SENSEX2642378000PE,LIMIT,BUY,200,0,188.65,185.73,0,executed,09:48:22 / 22-04-2026,1280029425,
SENSEX2642378000PE,LIMIT,BUY,200,0,187.25,183.05,0,executed,09:48:32 / 22-04-2026,1280029426,
SENSEX2642378300PE,LIMIT,SELL,200,0,266.1,272.73,0,executed,09:48:42 / 22-04-2026,1280029427,
SENSEX2642378000PE,LIMIT,BUY,200,0,186.8,182.8,0,executed,09:48:45 / 22-04-2026,1280029428,
SENSEX2642378000PE,LIMIT,BUY,200,0,185.45,182.325,0,executed,09:48:49 / 22-04-2026,1280029429,
SENSEX2642378500CE,LIMIT,BUY,200,0,466.25,458.8,0,executed,09:48:53 / 22-04-2026,1280029430,
SENSEX2642378500CE,LIMIT,BUY,200,0,469.2,460.535,0,executed,09:48:55 / 22-04-2026,1280029431,
SENSEX2642379000CE,LIMIT,BUY,200,0,238.05,234.75,0,executed,09:48:56 / 22-04-2026,1280029432,
SENSEX2642379000CE,LIMIT,BUY,200,0,238.05,236.405,0,executed,09:48:57 / 22-04-2026,1280029433,
SENSEX2642379000CE,LIMIT,BUY,200,0,240.4,236.6,0,executed,09:48:57 / 22-04-2026,1280029434,
SENSEX2642378500CE,LIMIT,BUY,200,0,477.9,470.745,0,executed,09:49:14 / 22-04-2026,1280029437,
SENSEX2642379000CE,LIMIT,BUY,200,0,242.7,238.3,0,executed,09:49:19 / 22-04-2026,1280029438,
SENSEX2642379000CE,LIMIT,BUY,200,0,242.3,238.39,0,executed,09:49:19 / 22-04-2026,1280029439,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.85,176.25,0,executed,09:49:23 / 22-04-2026,1280029440,
SENSEX2642378000PE,LIMIT,BUY,200,0,181.8,178.25,0,executed,09:49:30 / 22-04-2026,1280029441,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.8,176.65,0,executed,09:49:34 / 22-04-2026,1280029442,
SENSEX2642378300PE,LIMIT,SELL,200,0,263.7,267.625,0,executed,09:49:37 / 22-04-2026,1280029443,
SENSEX2642378300PE,LIMIT,SELL,200,0,263.7,268.41,0,executed,09:49:37 / 22-04-2026,1280029444,
SENSEX2642378500CE,LIMIT,BUY,200,0,481.1,473.675,0,executed,09:49:42 / 22-04-2026,1280029445,
SENSEX2642378500CE,LIMIT,BUY,200,0,481.1,473.285,0,executed,09:49:42 / 22-04-2026,1280029446,
SENSEX2642379000CE,LIMIT,BUY,200,0,243.45,238.875,0,executed,09:49:45 / 22-04-2026,1280029447,
SENSEX2642379000CE,LIMIT,BUY,200,0,243.45,239.005,0,executed,09:49:45 / 22-04-2026,1280029448,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.85,177.065,0,executed,09:49:47 / 22-04-2026,1280029449,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.85,177.625,0,executed,09:49:48 / 22-04-2026,1280029450,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.85,178.05,0,executed,09:49:48 / 22-04-2026,1280029451,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.85,178.35,0,executed,09:49:48 / 22-04-2026,1280029452,
SENSEX2642378300PE,LIMIT,SELL,200,0,260.65,265.575,0,executed,09:49:53 / 22-04-2026,1280029453,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.3,176.065,0,executed,09:49:55 / 22-04-2026,1280029454,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.3,175.9,0,executed,09:49:56 / 22-04-2026,1280029455,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.3,175.85,0,executed,09:49:56 / 22-04-2026,1280029456,
SENSEX2642378000PE,LIMIT,BUY,200,0,179.3,175.6,0,executed,09:49:56 / 22-04-2026,1280029457,
SENSEX2642378500CE,LIMIT,BUY,200,0,484.5,475.2,0,executed,09:50:03 / 22-04-2026,1280029458,
SENSEX2642379000CE,LIMIT,BUY,200,0,247.25,241.63,0,executed,09:50:07 / 22-04-2026,1280029459,
SENSEX2642378000PE,LIMIT,BUY,200,0,177.15,173.2,0,executed,09:50:10 / 22-04-2026,1280029460,
SENSEX2642378000PE,LIMIT,BUY,200,0,177.15,173.845,0,executed,09:50:10 / 22-04-2026,1280029461,
SENSEX2642378000PE,LIMIT,BUY,200,0,177,173.815,0,executed,09:50:10 / 22-04-2026,1280029462,
SENSEX2642378000PE,LIMIT,BUY,200,0,177,173.625,0,executed,09:50:11 / 22-04-2026,1280029463,
SENSEX2642378500CE,LIMIT,BUY,200,0,488.7,479.69,0,executed,09:50:13 / 22-04-2026,1280029464,
SENSEX2642379000CE,LIMIT,BUY,200,0,246.25,242.85,0,executed,09:50:16 / 22-04-2026,1280029465,
SENSEX2642378000PE,LIMIT,BUY,200,0,176.95,176.05,0,executed,09:50:18 / 22-04-2026,1280029466,
SENSEX2642378000PE,LIMIT,BUY,200,0,176.95,175.365,0,executed,09:50:18 / 22-04-2026,1280029467,
SENSEX2642378000PE,LIMIT,BUY,200,0,178.9,175.3,0,executed,09:50:18 / 22-04-2026,1280029468,
SENSEX2642378000PE,LIMIT,BUY,200,0,178.9,174.65,0,executed,09:50:18 / 22-04-2026,1280029469,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.26,0,executed,09:50:31 / 22-04-2026,1280029470,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.443,0,executed,09:50:31 / 22-04-2026,1280029471,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.404,0,executed,09:50:31 / 22-04-2026,1280029472,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.504,0,executed,09:50:31 / 22-04-2026,1280029473,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.738,0,executed,09:50:31 / 22-04-2026,1280029474,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.386,0,executed,09:50:31 / 22-04-2026,1280029475,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,173.483,0,executed,09:50:31 / 22-04-2026,1280029476,
SENSEX2642379000CE,LIMIT,BUY,1000,0,276.9,241.955,0,executed,09:50:32 / 22-04-2026,1280029477,
SENSEX2642378500CE,LIMIT,BUY,400,0,545,475,0,executed,09:50:32 / 22-04-2026,1280029478,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,172.586,0,executed,09:50:32 / 22-04-2026,1280029479,
SENSEX2642379000CE,LIMIT,BUY,1000,0,276.9,241.941,0,executed,09:50:32 / 22-04-2026,1280029480,
SENSEX2642378000PE,LIMIT,BUY,1000,0,199.6,172.763,0,executed,09:50:32 / 22-04-2026,1280029481,
SENSEX2642378500CE,LIMIT,BUY,1000,0,545,475,0,executed,09:50:32 / 22-04-2026,1280029482,
SENSEX2642378000PE,LIMIT,BUY,440,0,199.6,172.77954545454546,0,executed,09:50:32 / 22-04-2026,1280029483,
SENSEX2642379000CE,LIMIT,BUY,1000,0,276.9,240.769,0,executed,09:50:33 / 22-04-2026,1280029484,
SENSEX2642379000CE,LIMIT,BUY,740,0,276.9,240.79594594594596,0,executed,09:50:33 / 22-04-2026,1280029485,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029486,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029487,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029488,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029489,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029490,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029491,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2.05,0,executed,09:50:33 / 22-04-2026,1280029492,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2,0,executed,09:50:34 / 22-04-2026,1280029493,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2,0,executed,09:50:34 / 22-04-2026,1280029494,
SENSEX2642374000PE,LIMIT,SELL,1000,0,1.8,2,0,executed,09:50:34 / 22-04-2026,1280029495,
